time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_60minute_a,pm1.0_60minute_b,pm2.5_60minute_a,pm2.5_60minute_b,pm10.0_60minute_a,pm10.0_60minute_b
1718078400,102568,63.3,NA,58.5,NA,994.634,NA,1.587,2.068,2.019,2.601,2.152,2.794
1717642800,102568,83.4,NA,76.2,NA,985.13,NA,13.528,14.798,17.191,19.797,17.681,20.446
1717668000,102568,81.0,NA,73.0,NA,985.732,NA,11.256,11.816,15.053,17.055,15.55,17.63
1718042400,102568,45.433,NA,71.0,NA,992.274,NA,1.615,2.005,2.076,2.635,2.184,2.808
1718017200,102568,60.3,NA,63.967,NA,990.322,NA,3.944,5.21,4.793,6.242,5.139,6.611
1718046000,102568,45.334,NA,70.334,NA,992.202,NA,1.619,2.029,2.139,2.61,2.296,2.822
1717981200,102568,39.066,NA,74.3,NA,989.581,NA,1.175,1.632,1.55,2.082,1.697,2.274
1718208000,102568,34.6,NA,80.334,NA,997.27,NA,3.765,4.409,4.676,5.547,4.96,5.766
1718157600,102568,51.467,NA,68.534,NA,995.721,NA,7.294,8.166,9.279,10.813,9.756,11.543
1718359200,102632,99.966,NA,71.133,NA,995.444,NA,11.28,11.267,14.3,13.662,16.059,14.131
1718456400,102632,26.233,NA,85.433,NA,1002.498,NA,1.433,1.312,2.191,1.754,2.824,1.982
1718474400,102632,20.8,NA,89.0,NA,1001.338,NA,0.237,0.029,0.423,0.06,0.535,0.116
1718438400,102632,51.567,NA,70.8,NA,999.377,NA,4.435,4.377,5.905,5.174,6.559,5.399
1718467200,102632,20.534,NA,91.466,NA,1002.275,NA,0.02,0.003,0.203,0.027,0.41,0.088
1718452800,102632,32.833,NA,81.7,NA,1002.303,NA,2.505,2.254,3.631,2.915,4.57,3.256
1718337600,102632,57.9,NA,75.233,NA,996.062,NA,6.83,6.893,8.972,8.376,10.309,8.921
1717776000,102632,27.9,NA,85.567,NA,992.895,NA,0.468,0.408,0.841,0.608,1.248,0.726
1718143200,102632,30.7,NA,78.7,NA,996.058,NA,6.029,5.822,8.446,7.578,9.678,8.155
1718089200,102632,90.834,NA,54.033,NA,997.043,NA,5.125,4.87,7.2,6.28,8.243,6.768
1718100000,102632,91.966,NA,53.0,NA,998.245,NA,5.771,5.663,7.767,7.085,8.796,7.46
1718132400,102632,29.267,NA,80.767,NA,997.178,NA,5.332,5.072,7.912,6.901,9.332,7.503
